Слово,Количество
chelebi,3
челеби,3
текстиль,3
водолазка,30
женская,17
женщин,10
рубчик,13
лапша,10
бадлон,7
женский,32
длинным,8
втачным,3
рукавом,8
воротником,4
гольф,5
базовая,6
вещь,4
времена,3
года,4
выполнена,3
гладкоокрашенной,3
ткани,6
кашкорсе,3
плотность,3
данная,4
фактура,3
позволяет,5
изделию,3
хорошо,6
растягиваться,3
модель,6
предполагает,3
быть,3
обтяжку,3
фигуре,3
хотите,3
товар,3
сидел,3
свободнее,3
заказывайте,3
размер,7
больше,3
эластична,3
впитывает,3
пропускает,3
влагу,3
красиво,3
облегает,3
фигуру,4
сохраняет,5
форму,4
отличный,4
офисный,5
вариант,3
длина,4
изделия,4
указана,3
оттенок,3
цвета,4
изделий,3
может,3
отличаться,3
представленного,3
фото,3
украшения,3
входят,3
комплект,3
школа,3
офис,10
повседневная,3
хит,7
продаж,3
сезона,3
длинные,11
бережная,8
стирка,8
более,4
россия,7
демисезон,5
veshalka,8
кардиганы,2
длинный,11
вязаный,17
кардиган,36
пуговицах,13
изготовлен,4
высококачественной,5
турецкой,4
пряжи,4
удобная,3
практичная,3
длинная,3
кофта,12
сделает,3
образ,5
стильным,2
благодаря,4
составу,4
вытягивается,4
скатывается,2
через,3
время,4
первоначальный,3
вид,3
пальто,10
подклада,3
кнопках,5
подойдет,6
холодную,2
погоду,4
летом,2
весну,2
осень,3
трендовый,2
модный,7
идеально,4
впишется,3
базовый,6
гардероб,3
трикотажное,2
можно,6
надевать,2
работу,2
университет,2
школу,2
прогулки,3
важные,2
встречи,2
демисезонного,2
носить,4
классическим,2
костюмом,2
повседневной,2
одеждой,2
теплый,6
классического,2
кроя,2
даст,2
замерзнуть,2
прохладную,3
высоких,6
невысоких,5
девушек,3
больших,2
размеров,2
беременных,7
стильный,3
определённо,2
станет,3
любимой,3
вещью,3
гардеробе,4
кнопки,3
принт,2
большие,9
размеры,9
капюшона,5
беременным,3
свободный,8
леопардовый,3
прорезные,2
градусах,5
